Academic Year,Subject Id,Subject Code,Subject Number,Print Subject Id,Subject Short Title,Subject Title,Total Units,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
2018,17.04,17,04,17.04J,"Modern Conceptions of Freedom","Modern Conceptions of Freedom",12.00,Y,N,N,Y,N
2018,17.051,17,051,17.051,"Ethics of Energy Policy","Ethics of Energy Policy",12.00,N,Y,N,N,N
2018,17.100,17,100,17.100J,"Pol Econ I:Theor of State&Econ","Political Economy I: Theories of the State and the Economy",12.00,Y,N,N,Y,N
2018,17.395,17,395,17.395J,"Innovation Systems","Innovation Systems for Science, Technology, Energy, Manufacturing, and Health",12.00,N,N,N,Y,N
2018,17.397,17,397,17.397J,"Enrgy Decisns, Mkts & Policies","Energy Decisions, Markets, and Policies",12.00,Y,Y,N,N,N
2018,17.40,17,40,17.40,"American Foreign Policy","American Foreign Policy: Past, Present, and Future",12.00,Y,Y,N,N,N
2018,17.401,17,401,17.401,"History Intl Politics","History of International Politics in the Modern World",12.00,N,N,N,Y,N
2018,17.407,17,407,17.407,"Chinese Foreign Policy","Chinese Foreign Policy",12.00,N,N,N,Y,N
2018,17.408,17,408,17.408,"Chinese Foreign Policy","Chinese Foreign Policy",12.00,Y,N,N,Y,N
2018,17.41,17,41,17.41,"Intro International Relations","Introduction to International Relations",12.00,Y,N,N,Y,N
2018,17.315,17,315,17.315,"Health Policy","Health Policy",12.00,Y,N,N,Y,N
2018,17.317,17,317,17.317,"US Social Policy","US Social Policy",12.00,N,N,N,Y,N
2018,17.320,17,320,17.320,"Social Policy","Social Policy",12.00,N,N,N,Y,N
2017,17.33,17,33,17.33,"Building a Better World","Building a Better World",12.00,N,N,N,Y,N
2018,17.391,17,391,17.391J,"Human Rights: Home & Abroad","Human Rights at Home and Abroad",12.00,Y,Y,N,N,N
2018,17.424,17,424,17.424,"Internatl Pol Econ:Adv Ind Soc","International Political Economy of Advanced Industrial Societies",12.00,Y,N,N,Y,N
2018,17.426,17,426,17.426,"Empirical Models in IR","Empirical Models in International Relations",12.00,Y,N,N,Y,N
2018,17.276,17,276,17.276,"Pub Opinon Rsch Training Lab","Public Opinion Research Training Lab",12.00,Y,Y,N,N,N
2018,17.28,17,28,17.28J,"US Poitics& Society in Wartime","The War at Home: American Politics and Society in Wartime",12.00,N,N,N,Y,N
2018,17.30,17,30,17.30J,"Making Public Policy","Making Public Policy",12.00,Y,Y,N,N,N
2018,17.303,17,303,17.303J,"Methods of Policy Analysis","Methods of Policy Analysis",12.00,Y,N,N,Y,N
2018,17.393,17,393,17.393J,"Environmental Law: Pollution","Environmental Law, Policy, and Economics: Pollution Prevention and Control",12.00,Y,Y,N,N,N
2018,17.307,17,307,17.307,"Public Policy for Wash Interns","American Public Policy for Washington Interns",12.00,Y,Y,N,Y,N
2018,17.309,17,309,17.309J,"Science, Tech, & Public Policy","Science, Technology, and Public Policy",12.00,Y,Y,N,N,N
2018,17.310,17,310,17.310J,"Science, Tech, & Public Policy","Science, Technology, and Public Policy",12.00,Y,Y,N,N,N
2018,17.275,17,275,17.275,"Pub Opinion Research Sem","Public Opinion Research Design and Training Seminar",12.00,Y,Y,N,N,N
2018,17.262,17,262,17.262,"Congress & Amer Polit Sys II","Congress and the American Political System II",12.00,Y,N,N,Y,N
2018,17.263,17,263,17.263,"Electoral Politics","Electoral Politics, Public Opinion, and Democracy",12.00,Y,Y,N,N,N
2018,17.264,17,264,17.264,"Electoral Politics","Electoral Politics",12.00,N,Y,N,N,N
2018,17.265,17,265,17.265,"Pub Opinion & Amer Democracy","Public Opinion and American Democracy",12.00,N,N,N,Y,N
2018,17.266,17,266,17.266,"Public Opinion","Public Opinion",12.00,N,N,N,Y,N
2018,17.267,17,267,17.267,"Democracy in America","Democracy in America",12.00,Y,Y,N,N,N
2018,17.269,17,269,17.269,"Race Ethnicity Am Politics","Race, Ethnicity, and American Politics",12.00,Y,N,N,Y,N
2018,17.270,17,270,17.270,"American Political Development","American Political Development",12.00,N,Y,N,N,N
2018,17.200,17,200,17.200,"Am Political Behavior I","American Political Behavior I",12.00,Y,Y,N,N,N
2018,17.210,17,210,17.210,"Am Political Behavior II","American Political Behavior II",12.00,Y,N,N,Y,N
2018,17.245,17,245,17.245,"Constitutional Law","Constitutional Law: Structures of Power and Individual Rights",12.00,N,N,N,Y,N
